,UserName,Area Of Focus
0,qjohnson,Shorouk City
1,qjohnson,Hay El Maadi
2,qjohnson,New Capital City
3,qjohnson,Marsa Matrouh
4,qjohnson,Sidi Abdel Rahman
5,qjohnson,Ras Sedr
6,qjohnson,New Heliopolis
7,dwayne30,Qesm Ad Dabaah
8,dwayne30,Qesm Marsa Matrouh
9,dwayne30,Hay Sharq
10,dwayne30,Al Alamein
11,dwayne30,Mohandessin
12,dwayne30,New Damietta
13,dwayne30,Al Mansoura
14,dwayne30,Qesm Borg El Arab
15,haroldhendricks,Shorouk City
16,haroldhendricks,Al Alamein
17,haroldhendricks,Hay El Maadi
18,haroldhendricks,Heliopolis - Masr El Gedida
19,egates,Qesm Borg El Arab
20,egates,Qesm Ad Dabaah
21,egates,Ras Sedr
22,egates,Obour City
23,egates,Sidi Heneish
24,egates,New Cairo City
25,bankssusan,None
26,bankssusan,New Heliopolis
27,bankssusan,Dokki
28,bankssusan,Shorouk City
29,jamessparks,Marsa Matrouh
30,xmoreno,El Nozha
31,xmoreno,Markaz Al Hamam
32,xmoreno,Hay El Maadi
33,beverlyruiz,Ras Sedr
34,frederick91,Dokki
35,frederick91,Mostakbal City - Future City
36,frederick91,Tanta
37,frederick91,Hay Masr El Kadima
38,frederick91,Al Mansoura
39,frederick91,New Capital City
40,brian99,Hurghada
41,ejones,New Heliopolis
42,josephthompson,Marsa Matrouh
43,josephthompson,Al Mansoura
44,josephthompson,Qesm Marsa Matrouh
45,josephthompson,Sidi Abdel Rahman
46,josephthompson,Sheikh Zayed City
47,josephthompson,Al Ain Al Sokhna
48,josephthompson,Hay Awal El Montazah
49,josephthompson,New Capital City
50,kelly05,Hay Sharq
51,kelly05,Shorouk City
52,kelly05,New Heliopolis
53,kelly05,Marsa Matrouh
54,kelly05,Qesm Borg El Arab
55,wcrawford,Tanta
56,wcrawford,New Damietta
57,wcrawford,6 October City
58,wcrawford,None
59,ywright,Qesm Marsa Matrouh
60,ywright,Al Mansoura
61,ywright,Al Agouza
62,ywright,New Capital City
63,kevin31,6 October City
64,kevin31,Hurghada
65,kevin31,New Heliopolis
66,garciajason,Alexandria Compounds
67,garciajason,Garawla
68,garciajason,Mostakbal City - Future City
69,garciajason,Al Agouza
70,garciajason,El Nozha
71,garciajason,Hay Than El Montazah
72,garciajason,Hurghada
73,garciajason,Hay Masr El Kadima
74,dillonleslie,Hay Than El Montazah
75,dillonleslie,Al Ain Al Sokhna
76,dillonleslie,Hay Masr El Kadima
77,dillonleslie,Hay El Haram
78,dillonleslie,Alexandria Compounds
79,dillonleslie,Heliopolis - Masr El Gedida
80,dillonleslie,Sidi Abdel Rahman
81,justin24,Marsa Matrouh
82,robert93,Badr City
83,robert93,Mostakbal City - Future City
84,robert93,Alexandria Compounds
85,robert93,Al Ain Al Sokhna
86,smithlatoya,Sidi Abdel Rahman
87,murraymichael,Mohandessin
88,murraymichael,Qesm Borg El Arab
89,charlessnyder,Markaz Al Hamam
90,charlessnyder,Al Ain Al Sokhna
91,charlessnyder,Hay El Maadi
92,charlessnyder,Qesm Ad Dabaah
93,charlessnyder,New Heliopolis
94,charlessnyder,Badr City
95,danielle07,Hadayek El Ahram
96,danielle07,Hay El Haram
97,qcox,None
98,qcox,Markaz Al Hamam
99,qcox,Hay Sharq
100,dcoleman,Shorouk City
101,dcoleman,Nasr City
102,jasonrodriguez,Garawla
103,jasonrodriguez,Mohandessin
104,jasonrodriguez,Qesm Marsa Matrouh
105,jasonrodriguez,Hay Than El Montazah
106,jasonrodriguez,New Damietta
107,jasonrodriguez,Ras Sedr
108,jasonrodriguez,New Capital City
109,saraortiz,Mohandessin
110,saraortiz,Tanta
111,saraortiz,Hay Awal El Montazah
112,saraortiz,Sidi Abdel Rahman
113,smithlaurie,New Heliopolis
114,smithlaurie,Hay Sharq
115,smithlaurie,Badr City
116,smithlaurie,Hay El Maadi
117,isaac03,Hay Than El Montazah
118,isaac03,Obour City
119,isaac03,Mostakbal City - Future City
120,crystal15,Marsa Matrouh
121,crystal15,Garawla
122,crystal15,New Heliopolis
123,crystal15,6 October City
124,crystal15,None
125,colemananthony,Qesm Borg El Arab
126,colemananthony,New Capital City
127,colemananthony,Sheikh Zayed City
128,colemananthony,Hurghada
129,colemananthony,Heliopolis - Masr El Gedida
130,colemananthony,6 October City
131,colemananthony,Markaz Al Hamam
132,colemananthony,Alexandria Compounds
133,juanlee,Hay Sharq
134,juanlee,Sidi Heneish
135,juanlee,Hurghada
136,juanlee,New Damietta
137,juanlee,New Heliopolis
138,juanlee,Ras Sedr
139,juanlee,Marsa Matrouh
140,edwardtaylor,El Nozha
141,edwardtaylor,Shorouk City
142,edwardtaylor,Mohandessin
143,edwardtaylor,Alexandria Compounds
144,edwardtaylor,Markaz Al Hamam
145,edwardtaylor,Hadayek El Ahram
146,edwardtaylor,New Cairo City
147,akrause,Alexandria Compounds
148,akrause,Badr City
149,akrause,New Heliopolis
150,castillonancy,Hay Sharq
151,glewis,Hay Wasat
152,glewis,Sheikh Zayed City
153,glewis,El Nozha
154,glewis,Heliopolis - Masr El Gedida
155,glewis,Qesm Borg El Arab
156,gardnerkristine,Hurghada
157,gardnerkristine,Hay Awal El Montazah
158,gardnerkristine,Ras Al Hekma
159,laura03,Hurghada
160,laura03,El Nozha
161,laura03,New Capital City
162,laura03,Hay Sharq
163,laura03,Qesm Borg El Arab
164,laura03,Qesm Marsa Matrouh
165,laura03,Hay Masr El Kadima
166,nmurray,Hay Awal El Montazah
167,nmurray,Marsa Matrouh
168,nmurray,Hurghada
169,nmurray,Al Ain Al Sokhna
170,nmurray,Alexandria Compounds
171,nmurray,New Damietta
172,kstone,Tanta
173,kperry,Alexandria Compounds
174,kperry,Garawla
175,alexandranichols,Sheikh Zayed City
176,alexandranichols,Heliopolis - Masr El Gedida
177,alexandranichols,Qesm Borg El Arab
178,alexandranichols,None
179,alexandranichols,Hay Than El Montazah
180,michele52,New Heliopolis
181,michele52,Hurghada
182,michele52,Hay El Haram
183,michele52,Hay Sharq
184,angelareese,El Nozha
185,angelareese,Badr City
186,angelareese,Al Mansoura
187,angelareese,Qesm Marsa Matrouh
188,angelareese,New Heliopolis
189,angelareese,Sheikh Zayed City
190,qcampbell,Ras Al Hekma
191,qcampbell,Badr City
192,qcampbell,Sheikh Zayed City
193,qcampbell,El Nozha
194,steven28,New Damietta
195,steven28,Qesm Marsa Matrouh
196,steven28,Al Ain Al Sokhna
197,haydenbrian,None
198,haydenbrian,Al Alamein
199,erinshea,Sheikh Zayed City
200,erinshea,Al Agouza
201,wadams,Tanta
202,wadams,None
203,robertkennedy,Al Mansoura
204,robertkennedy,Qesm Borg El Arab
205,robertkennedy,Dokki
206,robertkennedy,Sheikh Zayed City
207,robertkennedy,Hay El Haram
208,robertkennedy,Hay Sharq
209,robertkennedy,Nasr City
210,robertkennedy,Qesm Marsa Matrouh
211,victoria57,Qesm Ad Dabaah
212,victoria57,New Heliopolis
213,brandiolson,Mostakbal City - Future City
214,brandiolson,Ras Al Hekma
215,brandiolson,Mohandessin
216,brandiolson,Markaz Al Hamam
217,brandiolson,Sidi Heneish
218,brandiolson,New Cairo City
219,kingalison,Marsa Matrouh
220,brewermanuel,Dokki
221,brewermanuel,Al Alamein
222,brewermanuel,New Heliopolis
223,brewermanuel,New Cairo City
224,lindsey94,New Cairo City
225,lindsey94,Sidi Heneish
226,lindsey94,New Heliopolis
227,william43,Markaz Al Hamam
228,william43,Heliopolis - Masr El Gedida
229,william43,El Nozha
230,william43,Sidi Abdel Rahman
231,jessicagarcia,Markaz Al Hamam
232,jessicagarcia,Ras Sedr
233,jennifer18,Qesm Marsa Matrouh
234,jennifer18,New Heliopolis
235,jennifer18,Heliopolis - Masr El Gedida
236,jennifer18,Hay Masr El Kadima
237,jennifer18,Dokki
238,jennifer18,New Damietta
239,joel80,Heliopolis - Masr El Gedida
240,joel80,Qesm Borg El Arab
241,joel80,Hay Wasat
242,joel80,Shorouk City
243,joel80,Qesm Marsa Matrouh
244,parkerpaige,Sheikh Zayed City
245,parkerpaige,New Cairo City
246,parkerpaige,Mohandessin
247,parkerpaige,Sidi Heneish
248,parkerpaige,Al Agouza
249,xgutierrez,Dokki
250,xgutierrez,Tanta
251,xgutierrez,New Heliopolis
252,xgutierrez,6 October City
253,xgutierrez,None
254,xgutierrez,Obour City
255,xgutierrez,Hay El Maadi
256,xgutierrez,Shorouk City
257,toddramirez,Hay Masr El Kadima
258,toddramirez,Hay Than El Montazah
259,toddramirez,Hay El Haram
260,toddramirez,Tanta
261,toddramirez,New Capital City
262,toddramirez,Garawla
263,toddramirez,Qesm Borg El Arab
264,toddramirez,Sheikh Zayed City
265,zbright,Hurghada
266,zbright,Al Alamein
267,zbright,Badr City
268,zbright,Hay Wasat
269,zbright,Ras Al Hekma
270,morganellen,Sidi Abdel Rahman
271,jefferyashley,Shorouk City
272,jefferyashley,Al Alamein
273,jefferyashley,Sidi Heneish
274,jefferyashley,New Damietta
275,jefferyashley,6 October City
276,jefferyashley,Al Mansoura
277,parsonsbrian,6 October City
278,parsonsbrian,Hay Awal El Montazah
279,parsonsbrian,Qesm Marsa Matrouh
280,parsonsbrian,Obour City
281,parsonsbrian,Hurghada
282,parsonsbrian,Hay Than El Montazah
283,parsonsbrian,Marsa Matrouh
284,krobinson,6 October City
285,krobinson,Al Alamein
286,krobinson,Hay Awal El Montazah
287,krobinson,Mostakbal City - Future City
288,krobinson,Hay El Haram
289,davidmurphy,Markaz Al Hamam
290,davidmurphy,Tanta
291,wtorres,Shorouk City
292,wtorres,Hay El Maadi
293,wtorres,Heliopolis - Masr El Gedida
294,wtorres,Dokki
295,wtorres,Al Mansoura
296,wtorres,Al Ain Al Sokhna
297,wtorres,Nasr City
298,tarareyes,Shorouk City
299,tarareyes,New Heliopolis
300,tarareyes,Mohandessin
301,tarareyes,Qesm Borg El Arab
302,zmitchell,Hay El Haram
303,zmitchell,Qesm Ad Dabaah
304,zmitchell,Ras Sedr
305,zmitchell,Ras Al Hekma
306,richard64,New Damietta
307,richard64,Markaz Al Hamam
308,richard64,Hay El Maadi
309,richard64,Heliopolis - Masr El Gedida
310,corywilliams,Dokki
311,corywilliams,Al Agouza
312,corywilliams,Qesm Borg El Arab
313,corywilliams,New Damietta
314,corywilliams,None
315,corywilliams,New Capital City
316,corywilliams,Alexandria Compounds
317,carlsonkristin,Tanta
318,carlsonkristin,Hay El Maadi
319,carlsonkristin,Sidi Abdel Rahman
320,carlsonkristin,Heliopolis - Masr El Gedida
321,tbest,New Damietta
322,tbest,Hurghada
323,tbest,New Heliopolis
324,tbest,Ras Sedr
325,tbest,Sheikh Zayed City
326,tbest,Sidi Heneish
327,vhayes,Ras Sedr
328,vhayes,Hay Sharq
329,vhayes,Al Alamein
330,vhayes,Marsa Matrouh
331,vhayes,6 October City
332,susanjimenez,New Heliopolis
333,susanjimenez,6 October City
334,susanjimenez,New Capital City
335,susanjimenez,Qesm Ad Dabaah
336,susanjimenez,Heliopolis - Masr El Gedida
337,susanjimenez,Al Alamein
338,susanjimenez,Ras Al Hekma
339,susanjimenez,Obour City
340,bettybaldwin,Qesm Marsa Matrouh
341,bettybaldwin,Badr City
342,bettybaldwin,Mostakbal City - Future City
343,bettybaldwin,Ras Al Hekma
344,bettybaldwin,Hay Masr El Kadima
345,bettybaldwin,Hay Than El Montazah
346,rwyatt,Marsa Matrouh
347,rwyatt,Badr City
348,rwyatt,New Capital City
349,rwyatt,Sheikh Zayed City
350,rwyatt,Garawla
351,rwyatt,Heliopolis - Masr El Gedida
352,natalieross,Dokki
353,natalieross,Hay Awal El Montazah
354,natalieross,Marsa Matrouh
355,natalieross,Obour City
356,natalieross,Garawla
357,natalieross,Qesm Borg El Arab
358,whunt,Ras Sedr
359,whunt,El Nozha
360,whunt,Hay Sharq
361,whunt,Hay Than El Montazah
362,whunt,Nasr City
363,berrytammy,Hurghada
364,friedmankaylee,Obour City
365,friedmankaylee,Shorouk City
366,friedmankaylee,Hay Than El Montazah
367,friedmankaylee,Qesm Ad Dabaah
368,friedmankaylee,Heliopolis - Masr El Gedida
369,friedmankaylee,Garawla
370,friedmankaylee,Hadayek El Ahram
371,lopezbeverly,Hay El Haram
372,lopezbeverly,Hay Than El Montazah
373,lopezbeverly,Tanta
374,lopezbeverly,Hay Sharq
375,lopezbeverly,Marsa Matrouh
376,lopezbeverly,Obour City
377,lopezbeverly,Garawla
378,lopezbeverly,Hurghada
379,weberrobert,Sidi Abdel Rahman
380,weberrobert,Qesm Marsa Matrouh
381,weberrobert,New Damietta
382,weberrobert,New Heliopolis
383,weberrobert,Badr City
384,weberrobert,Al Agouza
385,weberrobert,Ras Al Hekma
386,elizabeth10,Hay El Maadi
387,wlopez,Heliopolis - Masr El Gedida
388,wlopez,Obour City
389,wlopez,Ras Al Hekma
390,wlopez,Sidi Heneish
391,wlopez,Hadayek El Ahram
392,wlopez,Shorouk City
393,wlopez,Hay Wasat
394,wlopez,New Cairo City
395,richardrobinson,Dokki
396,richardrobinson,Mohandessin
397,richardrobinson,Hay Masr El Kadima
398,richardrobinson,Hay El Haram
399,richardrobinson,Al Alamein
400,terrysusan,Al Mansoura
401,rgibson,Hay El Maadi
402,rgibson,Marsa Matrouh
403,rgibson,Dokki
404,rgibson,Heliopolis - Masr El Gedida
405,rgibson,Al Agouza
406,rgibson,New Heliopolis
407,duncanjeremy,Hay El Maadi
408,duncanjeremy,Garawla
