,Unnamed: 0,Company Name,Phone Num,Address,# Active Listings,About
0,0,IMKANInvestments,2.01008E+11,إمتداد مصطفي النحاس - بلوك ٣٥ - قطعة ١ - ش إفريقيا,535.0,
1,1,EGYEMIRATES,2.01276E+11,التجمع الخامس ,140.0,
2,2,GRSRealEstate,2.01001E+11,5th Settlement-North 90 Street- Petrosport club- Same gate of Bank Ahli inside petrosport club-Platz Business Park-Office GRC real estate company.,101.0,
3,3,MemarGrandCity,2.01118E+11,"El Horya St. ,Maadi Grand City, Cario, Egypt ",46.0,
4,4,NPRealEstate,2.0116E+11,El Shiekh Zayed ,73.0,
5,5,EvernestEstate,2.01235E+11,Waterway ,174.0,
6,6,TwistHome,2.01033E+11,"New Cairo City, Egypt ",226.0,
7,7,AbragRealEstate,2.01001E+11,"54 lebanon st , Mohandesen ",481.0,"About Us: Abrag Real Estate was founded in 1999 under the name of Engineering Marketing and Management Company (EMMC) based on a solid portfolio & great understanding of the market needs. In 2007, the company’s name changed to Abrag Real Estate while promising its customers the satisfaction and the trust they deserve. Our Services :Abrag Real Estate offers numerous real estate consultancy services & solutions.Market survey and studiesProduct developmentVolume of the market needs and demandPricing and Methods of PaymentMarketing Communication plansPromotions The company deals with the most reputable real estate developers in the market standing on a solid background while depending on our achievements with most of them. Our Vision : To be a leading agent for real estate brokerage in Egypt, MENA region with consistent standards & excellent quality. Our Mission : In Abrag, we strive to deliver real estate sales & services including investment consultancy & opportunities with outstanding quality powered by our experts. Our Values :Team WorkTrustQualityCare"
8,8,IKPRealEstate,2.01099E+11,masr al gdeeda,154.0,
9,9,HomeKey,2.01117E+11,"Banafseg mall 7 , new cairo ",73.0,
12,12,BlueReefRealEstate,2.01E+11,6 Nabil el wakkad street Masr el gedida,148.0,
16,16,RoyalHome,2.01113E+11,شارع السلولي -الدقي ١٣ ,337.0,
17,17,VScopeEngineeringConsultancy&RealEstate,2.01158E+11,3skies mall -second floor,47.0,
19,19,MeamarRealEstate,2.01556E+11,new cairo,142.0,
20,20,MeetingPoints,2.01051E+11,,26.0,
21,21,QuestProperties,2.01092E+11,"Villa 286, 2nd District, 1st Zone, 5th Settlement, New Cairo",164.0,
24,24,عقارمارينا,2.01006E+11,الاسكندرية الساحل الشمالي امام مارينا ٦ شارع العلمين الرئيسي عمارة السيد خميس اعلي محلات ابوعوف للادوات الكهربائية,21.0,
28,28,EGYPLAN-Property,2.01101E+11,٢٥ الحي الثامن الشيخ زايد ,33.0,
29,29,PropertyDealRealEstateConsultancy,2.01222E+11,"El banafseg 12 - Villa 91, First settlement, New Cairo",619.0,
30,30,FIPMilestone,2.01141E+11,"38 Mustafa Elnhas St, Naser Cityu ",45.0,"Our mission is to always look for new opportunities, research deep in the market and ensure that our database is always equipped with the best properties selected. Since many years we have been operating in the Egyptian market, with hundreds of satisfied clients renting, selling and buying clients, you can rest assured that we are the only broker you can contact!"
