,UserName,Property ID
0,qjohnson,4644
1,qjohnson,2719
2,qjohnson,164
3,qjohnson,156
4,qjohnson,1433
5,qjohnson,2964
6,qjohnson,4352
7,qjohnson,3885
8,jbarber,4851
9,jbarber,2682
10,jbarber,4891
11,jbarber,1597
12,jbarber,3630
13,bcarpenter,44
14,bcarpenter,3417
15,bcarpenter,613
16,bcarpenter,4859
17,bcarpenter,832
18,dwayne30,1579
19,dwayne30,4943
20,dwayne30,4096
21,dwayne30,2389
22,dwayne30,3356
23,dwayne30,2524
24,dwayne30,3177
25,haroldhendricks,4937
26,haroldhendricks,208
27,haroldhendricks,3870
28,haroldhendricks,407
29,egates,2303
30,egates,646
31,egates,1342
32,egates,208
33,egates,3428
34,egates,2281
35,egates,2176
36,egates,289
37,bankssusan,1326
38,bankssusan,1936
39,bankssusan,311
40,bankssusan,3855
41,jamessparks,1970
42,jamessparks,3754
43,jamessparks,1774
44,jamessparks,3055
45,jamessparks,2594
46,jamessparks,998
47,beverlyruiz,3970
48,beverlyruiz,1780
49,beverlyruiz,869
50,beverlyruiz,3668
51,beverlyruiz,432
52,beverlyruiz,565
53,beverlyruiz,470
54,beverlyruiz,4040
55,brian99,1457
56,brian99,75
57,brian99,4866
58,brian99,404
59,ejones,4308
60,ejones,1217
61,ejones,4528
62,ejones,1475
63,kelly05,1248
64,kelly05,142
65,kelly05,882
66,kelly05,4458
67,kelly05,2650
68,kelly05,684
69,kelly05,3942
70,kelly05,1337
71,kjohnson,2991
72,kjohnson,2138
73,wcrawford,1499
74,wcrawford,2520
75,lisa40,2265
76,lisa40,590
77,lisa40,330
78,lisa40,2643
79,ywright,4355
80,ywright,3832
81,ywright,146
82,ywright,177
83,ywright,530
84,ywright,3924
85,ywright,4897
86,ywright,683
87,kevin31,1227
88,garciajason,1060
89,garciajason,1972
90,garciajason,2383
91,garciajason,679
92,garciajason,3725
93,garciajason,2895
94,garciajason,192
95,garciajason,1735
96,christy21,4226
97,christy21,4040
98,christy21,4422
99,christy21,1294
100,christy21,2496
101,christy21,3099
102,christy21,4815
103,vsimpson,2605
104,vsimpson,4361
105,vsimpson,2120
106,vsimpson,2109
107,vsimpson,3912
108,vsimpson,4394
109,vsimpson,2931
110,dillonleslie,4615
111,robert93,4153
112,robert93,1690
113,robert93,860
114,robert93,3329
115,murraymichael,753
116,murraymichael,3758
117,murraymichael,4491
118,murraymichael,1814
119,murraymichael,3220
120,charlessnyder,3198
121,charlessnyder,2311
122,danielle07,2707
123,danielle07,3107
124,danielle07,1195
125,danielle07,3450
